,Latitude,Longitude,Depth,Root Mean Square,Magnitude,Day,Month,Year,Hours,Minutes,Seconds,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWW,Location Source_ISCGEM,Magnitude Source_NC,Magnitude Source_US
52,-12.853,166.697,90.1,1.17,2.0281482472922856,6,2,1999,21,47,59,0,0,0,1,0,0,0,0
53,-42.229,-71.793,112.4,1.022469952000009,1.9459101490553128,8,5,1971,0,49,46,0,1,0,0,0,1,0,0
54,-53.163,9.638,10.0,1.3,1.9315214116032136,5,1,1986,8,8,8,0,1,0,0,0,0,0,0
55,-30.8285,-178.2171,49.14,1.3400000000000003,1.8718021769015916,24,10,2013,0,25,46,0,0,0,0,1,0,0,1
56,51.171,157.626,45.1,1.0,1.9740810260220096,13,7,1992,15,34,5,0,1,0,0,0,0,0,0
57,49.839,78.906,0.0,1.022469952000009,1.916922612182061,5,7,1978,2,46,57,0,0,0,0,0,0,0,1
58,1.671,-90.911,10.0,1.19,1.88706964903238,21,10,2000,14,24,9,0,0,0,1,0,0,0,0
59,10.679,-84.759,33.0,1.022469952000009,2.0149030205422647,14,4,1973,8,34,0,1,0,0,0,0,0,0,1
60,12.584,121.952,15.0,1.022469952000009,2.0281482472922856,5,2,1970,22,6,1,0,1,0,0,0,1,0,0
61,12.273,140.896,20.0,1.022469952000009,1.88706964903238,26,8,1967,2,7,10,0,1,0,0,0,1,0,0
62,23.976,121.729,38.1,1.0,1.9021075263969205,6,1,1987,5,7,48,0,1,0,0,0,0,0,0
63,42.639,144.448,56.6,0.9,1.916922612182061,10,10,1988,5,52,10,0,1,0,0,0,0,0,0
64,-15.962,-173.572,81.1,1.1,1.88706964903238,6,8,1990,16,23,18,0,1,0,0,0,0,0,0
65,-62.551,155.054,10.0,1.2,1.9878743481543453,17,12,1991,3,41,8,0,1,0,0,0,0,0,0
66,24.897,-109.035,10.0,1.3,1.9600947840472696,16,3,1990,15,52,43,0,1,0,0,0,0,0,0
67,27.929,136.967,112.4,1.0,2.0281482472922856,4,7,1982,1,20,7,0,1,0,0,0,0,1,0
68,34.994,73.781,10.0,0.6999999999999997,1.9021075263969205,8,10,2005,3,58,13,0,0,0,0,0,0,0,1
69,24.091,121.758,34.3,1.1,1.8718021769015916,11,11,1990,23,59,4,0,1,0,0,0,0,0,0
70,-18.175,-178.112,112.4,1.022469952000009,1.88706964903238,22,4,1980,6,55,29,0,0,0,0,0,0,0,1
71,2.681,125.276,33.0,1.022469952000009,1.8718021769015916,2,6,1974,15,59,51,1,0,0,0,0,0,0,1
72,5.5,-82.564,10.0,1.0,1.8718021769015916,10,1,1993,22,58,20,0,1,0,0,0,0,0,0
73,-15.184,-173.524,8.0,1.022469952000009,1.88706964903238,10,3,1973,9,50,0,0,0,0,0,0,0,0,1
74,-19.847,169.029,72.0,1.022469952000009,1.9021075263969205,28,1,1973,17,43,15,0,0,0,0,0,0,0,1
75,44.63,146.932,80.0,1.022469952000009,1.8718021769015916,2,2,1975,16,17,24,0,0,0,0,0,0,0,1
76,-18.096,-178.979,112.4,1.022469952000009,1.9740810260220096,25,12,1965,2,57,59,0,1,0,0,0,1,0,0
77,10.126,-75.695,52.0,1.022469952000009,1.8718021769015916,5,4,1975,20,38,30,0,0,0,0,0,0,0,1
78,-58.767,-25.128,33.0,0.9,1.88706964903238,1,10,1995,17,53,53,1,0,0,0,0,0,0,1
79,-5.562,122.129,10.0,0.92,2.0149030205422647,19,2,2005,0,4,44,0,0,1,0,0,0,0,1
80,18.847,145.123,112.4,1.0,1.916922612182061,24,8,1995,6,28,55,0,1,0,0,0,0,0,0
81,56.286,-153.524,33.0,1.0,1.8718021769015916,6,3,1986,4,8,19,0,1,0,0,0,0,0,0
82,-41.7317,79.9602,10.0,1.15,1.9878743481543453,3,11,2014,8,48,30,0,0,0,0,1,0,0,1
83,-23.37,-179.778,112.4,0.91,1.9740810260220096,3,7,2008,3,2,38,0,0,0,1,0,0,0,1
84,-46.451,166.562,15.0,1.022469952000009,1.9740810260220096,25,9,1968,7,2,51,0,1,0,0,0,1,0,0
85,-23.493,179.135,112.4,1.1,1.88706964903238,13,10,1990,22,53,33,0,1,0,0,0,0,0,0
86,-7.621,157.786,34.5,1.29,1.916922612182061,21,3,1997,22,36,13,0,0,0,1,0,0,0,0
87,40.135,-29.692,10.0,0.91,1.88706964903238,23,12,2003,14,2,4,0,0,0,1,0,0,0,0
88,41.473,143.764,30.4,1.0,2.0149030205422647,30,4,1983,14,3,49,0,0,0,0,0,0,0,1
89,-9.942,33.911,10.0,1.0,1.8718021769015916,12,12,2009,2,27,4,0,0,0,1,0,0,0,0
90,2.158,93.36,28.0,1.21,1.916922612182061,20,4,2012,23,14,31,0,0,0,0,1,0,0,1
91,14.364,-94.673,33.0,1.11,1.9600947840472696,5,5,1999,22,41,30,0,0,0,1,0,0,0,0
92,40.237,139.023,30.6,0.9,1.9459101490553128,9,6,1983,12,49,4,0,1,0,0,0,0,1,0
93,-10.975,165.209,10.0,0.94,1.88706964903238,6,2,2013,1,33,37,0,0,0,0,0,0,0,1
94,-5.2416,102.2802,44.12,1.02,1.9021075263969205,3,4,2014,9,30,25,0,0,1,0,0,0,0,1
95,-4.472,129.129,10.0,0.91,1.9600947840472696,8,10,2012,11,43,31,0,0,0,0,1,0,0,1
96,13.124,144.537,45.0,1.022469952000009,1.9459101490553128,16,9,1970,1,49,21,0,1,0,0,0,1,0,0
97,-3.863,-78.494,102.9,0.9,1.9021075263969205,13,1,1984,2,29,1,0,1,0,0,0,0,0,0
98,43.776,84.66,33.0,1.1,1.8718021769015916,2,5,1995,11,48,12,0,1,0,0,0,0,0,0
99,38.063,30.134,33.0,1.1,2.0014800002101243,1,10,1995,15,57,16,0,1,0,0,0,0,0,0
100,-21.725,-68.165,112.4,1.01,1.9021075263969205,8,10,2012,1,50,26,0,0,0,0,1,0,0,1
101,2.632,96.404,21.0,1.31,1.9315214116032136,18,1,2011,11,33,45,0,0,0,0,1,0,0,1
102,-15.751,-178.376,25.0,1.022469952000009,2.028148247292285,14,8,1971,9,1,33,0,1,0,0,0,1,0,0
103,-5.097,153.181,33.0,1.13,2.028148247292285,18,11,2000,2,5,49,0,0,0,1,0,0,0,0
104,-56.451,-26.847,84.0,1.0,2.0014800002101243,3,9,2011,4,48,57,0,0,0,0,1,0,0,1
105,8.592,125.868,33.0,0.99,1.8718021769015916,9,6,1999,1,5,32,0,0,0,1,0,0,0,0
106,18.014,145.626,112.4,0.9,1.9600947840472696,4,1,1982,6,5,1,0,0,0,0,0,0,0,1
107,-16.0566,167.4862,31.0,1.12,1.916922612182061,17,9,2016,2,31,59,0,0,0,0,1,0,0,1
108,-49.426,-8.049,10.0,1.0,1.8718021769015916,19,9,1985,0,21,57,0,1,0,0,0,0,0,0
109,33.235,47.963,51.0,1.022469952000009,1.8718021769015916,7,11,1976,11,7,57,0,0,0,0,0,0,0,1
110,-6.822,129.504,30.0,1.022469952000009,1.9459101490553128,27,4,1965,10,54,24,0,1,0,0,0,1,0,0
111,16.125,-93.885,87.2,1.0,1.9021075263969205,6,8,1983,2,26,49,0,0,0,0,0,0,0,1
112,-7.288,154.371,24.7,1.1,2.0281482472922856,12,10,1987,13,57,5,0,1,0,0,0,0,0,0
113,-4.264,152.649,33.0,1.11,1.9021075263969205,16,11,2000,18,3,45,0,0,0,1,0,0,0,0
114,-11.315,163.863,37.7,1.1,1.9600947840472696,1,2,1994,22,14,23,0,1,0,0,0,0,0,0
115,-6.746,105.646,61.7,1.0,1.88706964903238,8,1,2000,3,44,54,0,0,0,1,0,0,0,0
116,53.909,161.55,33.0,0.91,1.9021075263969205,5,12,1997,11,35,20,0,0,0,0,0,0,0,1
117,-35.288,-106.266,8.4,1.1,1.9459101490553128,12,10,1995,23,41,45,0,0,1,0,0,0,0,1
118,-7.054,129.472,112.4,1.1,1.88706964903238,13,8,1983,15,39,34,0,0,0,0,0,0,0,1
119,39.032,29.778,10.0,1.022469952000009,1.9315214116032136,25,5,1971,5,43,26,0,1,0,0,0,1,0,0
120,17.026,-99.735,36.0,1.022469952000009,2.0014800002101243,19,3,1978,1,39,14,1,0,0,0,0,0,0,1
121,13.846,146.308,33.0,1.1,1.9021075263969205,4,5,1996,16,13,4,0,0,0,1,0,0,0,0
122,-32.8199,-177.8599,17.0,1.3400000000000003,1.9878743481543453,7,9,2015,9,13,57,0,0,0,0,1,0,0,1
123,-56.895,-25.024,33.0,1.06,1.8718021769015916,20,12,2001,12,1,54,0,0,0,1,0,0,0,0
124,-0.077,123.947,75.0,1.022469952000009,1.9315214116032136,25,2,1967,11,20,50,0,1,0,0,0,1,0,0
125,-55.979,158.123,33.0,1.3400000000000003,1.9740810260220096,17,2,1992,4,37,31,0,1,0,0,0,0,0,0
126,2.916,95.7,30.0,0.96,1.9600947840472696,7,4,2007,9,51,52,0,0,0,1,0,0,0,0
127,2.696,94.459,7.9,1.0,1.88706964903238,26,4,2012,19,21,43,0,0,1,0,0,0,0,1
